"class";"aa_000";"ab_000";"ac_000";"ad_000";"ae_000";"af_000";"ag_000";"ag_001";"ag_002";"ag_003";"ag_004";"ag_005";"ag_006";"ag_007";"ag_008";"ag_009";"ah_000";"ai_000";"aj_000";"ak_000";"al_000";"am_0";"an_000";"ao_000";"ap_000";"aq_000";"ar_000";"as_000";"at_000";"au_000";"av_000";"ax_000";"ay_000";"ay_001";"ay_002";"ay_003";"ay_004";"ay_005";"ay_006";"ay_007";"ay_008";"ay_009";"az_000";"az_001";"az_002";"az_003";"az_004";"az_005";"az_006";"az_007";"az_008";"az_009";"ba_000";"ba_001";"ba_002";"ba_003";"ba_004";"ba_005";"ba_006";"ba_007";"ba_008";"ba_009";"bb_000";"bc_000";"bd_000";"be_000";"bf_000";"bg_000";"bh_000";"bi_000";"bj_000";"bk_000";"bl_000";"bm_000";"bn_000";"bo_000";"bp_000";"bq_000";"br_000";"bs_000";"bt_000";"bu_000";"bv_000";"bx_000";"by_000";"bz_000";"ca_000";"cb_000";"cc_000";"cd_000";"ce_000";"cf_000";"cg_000";"ch_000";"ci_000";"cj_000";"ck_000";"cl_000";"cm_000";"cn_000";"cn_001";"cn_002";"cn_003";"cn_004";"cn_005";"cn_006";"cn_007";"cn_008";"cn_009";"co_000";"cp_000";"cq_000";"cr_000";"cs_000";"cs_001";"cs_002";"cs_003";"cs_004";"cs_005";"cs_006";"cs_007";"cs_008";"cs_009";"ct_000";"cu_000";"cv_000";"cx_000";"cy_000";"cz_000";"da_000";"db_000";"dc_000";"dd_000";"de_000";"df_000";"dg_000";"dh_000";"di_000";"dj_000";"dk_000";"dl_000";"dm_000";"dn_000";"do_000";"dp_000";"dq_000";"dr_000";"ds_000";"dt_000";"du_000";"dv_000";"dx_000";"dy_000";"dz_000";"ea_000";"eb_000";"ec_00";"ed_000";"ee_000";"ee_001";"ee_002";"ee_003";"ee_004";"ee_005";"ee_006";"ee_007";"ee_008";"ee_009";"ef_000";"eg_000"
"neg";961914;NA;NA;NA;NA;NA;0;0;175620;4837964;19237106;22360282;8657992;750358;9600;0;22464816;0;0;NA;2654486;4541082;42628182;39655140;16209616;4954360;NA;0;0;0;NA;NA;0;0;0;1458;16558;85952;1205670;28836370;25882914;0;66438;45294;105996;183320;2714384;52913138;316;34;2;0;13767938;18542348;13636182;4699572;2044004;1239666;1090596;903416;98458;6742;61498114;NA;NA;NA;NA;22464816;798374;7182810;9005490;304940;315960;284500;213940;268700;352060;335780;320040;263740;961913.25;61498114;61498114;62010422;243096;NA;NA;929080;56028922;1209600;NA;NA;NA;NA;46778310.72;0;9235217.28;NA;NA;558;1409964;13735224;23786856;13401392;3334434;305744;49634;5116;0;NA;NA;61498114;NA;34316;7594;2312416;4544722;4242728;41767700;3044452;74988;6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;392072;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9516272;5892934;2621884;1364516;3205658;4532350;10198172;18522590;174506;40;NA;NA
"neg";13464;0;60;48;0;0;0;0;0;140;421310;618262;90648;1844;0;0;541102;0;74;0;7024;9920;1068862;1014368;99584;40366;0;0;0;0;58;76;0;0;0;0;0;0;0;355726;776478;0;3838;1780;1580;1026;1488;1112252;8014;2226;0;0;476040;259618;168598;88848;73440;51214;14180;266;0;0;1175822;20;22;70;0;541102;12238;38066;61106;NA;NA;NA;NA;NA;NA;NA;NA;96480;13464.78;1175822;1175822;1163992;3449;90;115918;1172240;1133426;1209600;47502;0;76;0;875652.48;0;254952.96;72;218;0;0;71620;243590;353016;393818;68356;1710;94;0;26;46;1175822;0;3906;362;622;210516;66780;550538;287130;12344;6;0;54;80;869862;30222;0;2568;0;0;898104;1510;390;0;0;0;0;0;0;0;0;5420;1308;224;0;0;49450;10374;2300;496;0;0;0;0;0;1452.12;826;274760;276038;154616;51344;66170;42572;52348;213206;1112;38;0;0
"neg";84942;NA;2130706432;792;0;0;0;0;0;0;130;128412;3091664;2887698;71972;18;2625474;4700;0;0;0;0;5426016;4690176;936986;626500;0;0;0;0;1280;1354;0;0;0;0;0;43092;369112;1056344;4711346;0;3758;1294;2216;82690;4513138;1573896;2902;0;0;0;2387384;1857718;773138;460900;330690;318872;51192;0;0;0;6364214;0;14;14;76;2625474;91934;430034;503564;173760;166040;161820;170580;209960;NA;NA;NA;43100;84941.78;6364214;6364214;6386982;29718;22078;24606;303560;6179894;1209600;279474;8;162;0;5235360.96;0;940457.28;0;0;0;0;0;62788;522986;2659876;2707934;205168;19338;1804;2;8;6364214;NA;9348;1282;113434;703990;245894;3298062;1779662;28076;146;0;798;2098;5250352;622;0;226;0;22;5309470;4470;416;0;0;0;0;0;0;0;0;44746;69442;22986;0;0;296966;52428;15051480;1619024;0;0;0;0;6315210;2882;2550;975286;1443442;833472;398270;818698;632640;493276;278938;303566;2306;0;0
"neg";50;2;0;NA;0;0;0;0;0;0;4200;10320;2790;0;0;0;7294;0;0;0;458;1184;15014;9382;23412;2172;0;0;0;0;0;0;0;0;0;0;0;0;0;738;16572;0;1336;12;2;4;22;630;15304;0;0;0;13224;1904;692;332;676;196;110;172;4;0;38926;2;10;2;0;7294;428;16818;6234;NA;NA;NA;NA;NA;NA;NA;NA;22880;50.27;38926;38926;37958;48;320;3602;38360;17398;1209600;0;NA;NA;NA;6510.72;2887.68;6851.52;6;34;0;0;1254;4422;9662;1584;336;46;6;0;NA;14;38926;0;1266;48;282;3644;1038;3996;5944;1048;44;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;28;0;0;450;3090;0;0;0;0;484;0;0;0;0;236;46;17840;1952;0;0;0;0;0;181;116;11018;4458;1284;266;162;50;12;60;0;0;0;0
"neg";568;0;22;NA;0;0;0;0;0;0;6130;57498;78690;0;0;0;55648;0;0;0;0;0;174770;158016;39920;6420;0;0;0;0;78;6;0;0;0;0;0;0;0;0;142318;0;2654;524;396;346;530;110904;26964;0;0;0;113798;15020;5630;2746;1588;980;962;780;222;592;214862;12;6;16;0;55648;1354;21540;17686;NA;NA;NA;NA;NA;NA;NA;NA;38500;568.6;214862;214862;210244;331;510;20748;213480;142512;1209600;0;NA;NA;NA;36515.52;85620.48;18493.44;50;154;0;0;682;26700;98756;12076;3892;172;40;0;NA;0;214862;0;2082;164;1692;42666;27948;29992;34454;3120;200;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;172;32;100;18574;30;98602;0;0;0;0;1274;90;22;17114;6620;1056;352;128140;14024;0;78;0;0;0;411.6;336;106602;10838;3778;1830;5730;6194;5610;1722;14;0;0;0
"neg";91638;NA;1700;1570;0;0;0;0;0;0;822;78950;3480582;3452618;273320;52486;3133240;0;0;0;0;0;6443802;5385634;1485694;887082;0;0;7246;0;7142;706;0;0;0;0;0;39916;608520;4918332;1772010;0;8026;5198;11450;191062;6140818;982136;88;0;0;0;2335386;1481164;535644;439654;393222;376558;666218;1110932;0;0;7931044;176;140;758;136;3133240;89180;721310;758850;205840;210920;222100;244840;239000;225680;NA;NA;121500;91638.61;7931044;7931044;7908474;58530;1164;55278;656460;7338778;1209600;244056;4;168;0;5904587.52;0;1427865.6;0;0;0;0;0;5272;510182;3865592;2823194;117476;15436;1626;1724;1750;7931044;NA;12064;1614;91546;657434;578274;4793176;1178408;26150;112;0;2582;1766;5892464;31834;0;20728;0;20;5976146;7194;1330;0;0;0;0;0;0;0;0;54614;81786;22100;0;0;152246;26436;15671660;1605084;0;0;0;0;2734440;3420.64;3696;1489824;1844206;951008;449904;800758;567746;470388;312860;438928;13156;0;0
"neg";12;0;2130706432;12;0;0;0;0;0;0;3442;2370;838;0;0;0;1438;0;0;0;1086;3532;10882;9336;10242;448;0;0;0;0;30;24;0;0;0;0;0;0;0;0;6650;0;106;290;464;82;16;538;5154;0;0;0;5298;466;96;86;16;72;462;58;32;64;22250;0;2;2;0;1438;164;6708;3240;NA;NA;NA;NA;NA;NA;NA;NA;9800;11.67;22250;22250;22620;25;0;2090;21900;6718;1209600;364;2;2;0;2434.56;0;3366.72;0;14;0;0;3192;1572;1130;754;2;0;0;0;0;14;22250;0;964;16;12;14;10;744;4142;708;40;0;10;20;2780;150;0;0;0;0;2802;42;102;0;0;0;0;0;0;0;0;302;0;0;0;0;174;36;3880;388;0;0;0;0;0;1.06;58;4444;1992;64;14;18;10;20;88;0;0;0;0
"neg";1970;NA;0;NA;0;0;0;0;0;0;136;11708;80996;27230;0;0;55580;0;160;0;0;0;109892;98810;19920;7544;0;0;0;0;0;0;0;0;0;0;0;5586;84844;2584;27056;0;156;46;54;66;2718;117026;4;0;0;0;62518;40240;10088;4948;954;494;656;172;0;0;129834;0;942;14;8;55580;1734;10484;9398;NA;NA;NA;NA;NA;NA;NA;NA;19560;1969.69;129834;129834;130508;390;1114;12754;129420;120070;1209600;0;NA;NA;NA;104553.6;0;15362.88;0;24;0;0;0;7090;43080;67058;2660;182;0;0;NA;0;129834;NA;204;32;1728;15054;5964;55314;40132;1590;52;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;132;36;0;0;0;0;0;0;0;0;784;756;136;0;0;3092;658;543580;55872;0;0;0;0;969690;104.8;80;16664;15768;6384;2950;9534;63026;320;352;4170;902;0;0
"neg";2034;NA;48;30;0;0;0;0;0;0;86;16420;121662;8016;0;0;59292;0;0;0;0;0;137766;122846;25356;11218;0;0;0;0;30;50;0;0;0;0;0;9856;110196;9804;16328;0;234;140;126;126;5314;140234;10;0;0;0;90320;39618;10650;4684;504;208;150;50;0;0;163138;4;508;168;0;59292;1690;11924;13394;NA;NA;NA;NA;NA;NA;NA;NA;25060;2034.42;163138;163138;167030;442;478;16142;162820;146184;1209600;3784;0;10;0;121645.44;0;24394.56;0;0;0;0;0;1252;116872;26340;1274;408;38;0;0;4;163138;NA;276;52;108;23764;4248;41212;74394;2014;116;0;68;248;119194;63068;68;74;0;0;122592;248;38;0;0;0;0;0;0;0;0;802;274;148;0;0;2850;522;3640;734;0;0;0;0;1034450;143.1;104;26520;27696;9698;5044;11968;63536;1512;166;44;0;0;0
"neg";31978;NA;262;246;0;0;0;0;0;0;17436;559092;1376026;282782;27978;4126;1131854;0;0;0;0;0;2043816;1818718;308842;181066;0;0;0;0;608;148;0;0;0;0;0;47750;1036066;962486;221138;0;5520;7246;95604;567596;1259118;332354;2;0;0;0;800484;507828;208708;158028;130482;111622;142104;207496;688;0;2353060;246;790;388;4;1131854;28588;143676;163174;153260;NA;NA;NA;NA;NA;NA;NA;151300;31977.92;2353060;2353060;2364746;15422;17634;111604;1138640;2267440;1209600;64016;0;104;0;1961484.48;0;302269.44;450;1230;0;0;492;162522;928930;974044;188544;10682;2154;72;458;466;2353060;NA;5358;378;46768;111916;138376;1553902;396204;14282;256;0;420;530;1391578;54660;0;37952;0;0;1981612;1382;182;0;0;0;0;0;0;0;0;15600;30118;4626;0;0;58552;8492;1630180;292100;0;0;0;0;30978000;866.44;944;312264;567396;287356;139630;275190;259836;180914;106286;131546;7022;0;0
"neg";40384;NA;298;258;0;0;0;0;0;0;128122;1227442;1052782;226666;18308;6638;1349362;0;0;0;0;0;2212660;1725704;690112;412492;0;0;5240;0;474;160;0;0;0;0;0;69578;1290582;1171626;128172;0;3162;584;752;71454;1805284;778670;52;0;0;0;725822;719530;231880;176698;150860;137570;195042;319514;3042;0;2903412;90;166;1052;56;1349362;46076;340606;346028;239160;343400;NA;NA;NA;NA;NA;NA;101240;40384.75;2903412;2903412;2877958;18927;2810;42620;477600;2659958;1209600;70402;0;82;0;2330088.96;0;326798.4;0;0;0;0;1906;480436;1017440;938682;204616;14498;2326;54;344;348;2903412;NA;5710;536;101708;124214;215894;1958002;244232;9504;158;0;610;410;2308816;21040;0;312;0;8;2360108;1906;170;0;0;0;0;0;0;0;0;21146;29016;7602;0;0;106618;20100;178780;24510;0;0;0;0;384780;1356.22;1456;349004;447056;381272;196754;422904;352498;299450;154372;54330;2318;0;0
"neg";4;NA;22;14;0;0;0;0;0;0;106;8912;8996;0;0;0;6480;0;0;0;0;0;21824;16904;18618;1194;0;0;0;0;24;14;0;0;0;0;0;0;0;6674;11340;0;1030;18;52;36;120;16758;0;0;0;0;16430;710;158;104;32;14;76;340;138;12;40476;2;2;2;0;6480;350;12070;6510;1310700;1310700;1310700;1310700;1310700;1310700;1310700;1310700;18400;4.54;40476;40476;44568;36;0;3762;40160;18014;1209600;600;0;4;0;3205.44;10.56;13760.64;NA;NA;0;0;0;8254;6506;3254;0;0;0;0;0;4;40476;NA;1046;20;34;1602;4018;10610;684;0;0;0;16;32;3250;32;0;8;0;0;4376;144;44;0;0;30;38;0;0;0;0;320;0;0;3808;578;88;26;1040;104;22794;56;0;0;0;NA;NA;15214;2412;302;50;24;8;4;0;0;0;0;0
"neg";442;0;20;20;0;0;0;0;0;0;23070;4942;1932;0;0;0;9664;0;0;0;2524;3784;36018;34296;44734;606;0;0;0;0;0;0;0;0;0;0;0;0;0;2582;27362;0;102;24;28;654;398;10456;18282;0;0;0;8974;19066;718;304;116;170;44;438;100;14;83318;16;4;12;2;9664;386;39660;4904;NA;NA;NA;NA;NA;NA;NA;NA;44260;442.24;83318;83318;85696;182;0;8188;82760;30010;1209600;672;2;18;0;22313.28;0;6621.12;0;16;0;0;24012;2010;2944;936;36;6;0;0;2;6;83318;0;1088;8;26;308;1578;25498;1436;2;0;0;22;0;22952;18328;0;66;0;0;23460;70;156;0;0;0;0;0;0;0;0;458;0;0;0;0;210;42;15000;1486;13352;2;0;0;0;125.92;66;7930;2692;568;84;278;7684;10686;22;0;0;0;0
"neg";1262;NA;0;NA;0;0;0;0;0;0;62;56650;14394;0;0;0;31942;0;0;0;0;0;65952;61020;17420;2924;0;0;0;0;0;0;0;0;0;0;0;0;43790;26224;1092;0;1194;24;14;24;28;69822;0;0;0;0;20574;40312;7544;1840;768;62;6;0;0;0;83384;2;228;10;4;31942;654;12918;4480;NA;NA;NA;NA;NA;NA;NA;NA;17260;1262.95;83384;83384;88272;247;190;8200;83140;71106;1209600;0;NA;NA;NA;63223.68;0;6720;0;24;0;0;0;25052;45342;588;110;14;0;0;NA;0;83384;NA;1222;20;118;3678;1136;6408;57174;1294;56;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;34;0;0;0;0;0;0;0;0;314;70;26;0;0;722;168;220920;22304;0;0;0;0;262970;91.62;46;8368;6036;2786;1048;2482;50386;0;0;0;0;0;0
"neg";28310;NA;104;22;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;799712;0;0;0;608;1310;1433132;1274254;430876;113566;0;0;0;0;110;290;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1865074;1468;2020;2438;0;799712;22602;301152;128730;282560;NA;NA;NA;NA;NA;NA;NA;144120;28309.18;1865074;1865074;1865922;8345;2870;62270;651000;1554526;1209600;43854;0;80;0;1423247.04;0;128857.92;4;390;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;72;78;1865074;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;352;1132866;784632;0;198;0;0;1435186;1774;400;0;0;0;0;0;0;0;0;11310;7158;1922;2597174;375986;48142;7558;990840;107242;1674894;9548;0;0;27309220;1178.24;1002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
"neg";10;0;12;4;0;0;0;0;0;0;26;3774;2700;0;0;0;2286;0;180;0;0;0;13080;10286;4738;500;0;0;0;0;16;10;0;0;0;0;0;0;0;0;6500;0;1454;22;26;66;196;4732;4;0;0;0;5144;200;310;124;546;70;94;12;0;0;17866;2;20;6;0;2286;178;1962;2700;NA;NA;NA;NA;NA;NA;NA;NA;4540;10.3;17866;17866;17992;27;0;1632;17620;6540;1209600;240;0;8;0;2002.56;312;2973.12;0;14;0;0;0;1142;5076;250;32;0;0;0;6;122;17866;0;1304;20;112;14;660;1528;2232;594;36;0;8;44;1498;128;0;0;0;0;2040;72;84;0;0;100;568;0;0;0;0;202;0;0;176;104;36;12;760;76;0;10;0;0;0;228.38;68;4886;1398;40;18;24;48;56;30;0;0;0;0
"neg";51198;NA;142;126;0;0;0;0;0;0;1540;194058;2334934;977882;46546;3222;1639578;0;0;0;0;0;3227888;2778630;608304;323342;0;0;0;0;286;80;0;0;0;0;0;83490;1959336;1317650;197706;0;4474;4802;3090;29014;1996020;1518630;2152;0;0;0;1304008;934828;343564;240430;179236;147834;209654;198628;0;0;3837562;26;54;672;10;1639578;41884;285544;317780;194040;159720;218900;NA;NA;NA;NA;NA;24880;51197.36;3837562;3837562;3765970;20318;452;12504;194840;3558182;1209600;93542;0;138;0;2929357.44;0;624759.36;0;0;0;0;0;19192;1045994;1943740;517964;26466;4694;132;26;38;3837562;NA;6542;834;3924;214146;259922;2586996;464184;21142;492;0;178;214;2891560;48282;0;6164;0;12;2957234;2994;174;0;0;0;0;0;0;0;0;25564;32862;7228;0;0;94608;20816;98820;14966;0;0;0;0;2287880;1805.06;2096;652122;559468;414508;225976;606688;605608;276648;95524;110216;11424;0;0
